,Rbm25,Rnf125,Ptp4a2,Rab8a,Nudc,Ftl1,F8,BC048546,Ttc39c,Mapk1,Pdia6,Echdc1,Slc6a6,Gstm3,Gnb1,Pdha1,Srpr,Ddx3y,Ssr4,Gm26567,H2-Ab1,Cops4,Prdx5,Ulk2,Rxra,Eif2s2,Uhmk1,Ankrd17,9530068E07Rik,Gnai2,Cep85,Clcn3,Cyp1a2,Phyh,Gsta4,Hint2,Hjurp,Abca8b,Rps6,Pdia3,Csad,Bgn,Dock7,Klc4,Cyp2c38,2900026A02Rik,Tmbim1,Fau,Fermt2,Dcn,H2-Eb1,Mfn1,Ugt2b1,Ubl3,Ik,Mup17,Cul4a
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190145,0.0,0.0,0.0,1.8391209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449453,3.0984704,0.0,0.0,2.190145,0.0,1.2934943,2.8257158,0.0,0.0,0.0,0.0,0.0,0.0,1.2934943,0.0,0.0,0.0,0.0,0.0,0.0,1.2934943,0.0,2.449453,0.0
21,0.0,0.0,0.0,0.0,0.0,1.1292591,0.0,0.0,1.646103,1.1292591,1.9851435,0.0,0.0,0.0,1.1292591,0.0,0.0,0.0,0.0,1.1292591,0.0,0.0,1.1292591,0.0,0.0,0.0,0.0,0.0,1.1292591,1.646103,0.0,0.0,2.607138,2.237882,1.646103,0.0,0.0,0.0,0.0,1.646103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1292591,1.1292591,0.0,0.0,2.237882,0.0,0.0,1.1292591,0.0
22,0.0,1.1034355,1.1034355,0.0,0.0,1.9521071,0.0,0.0,1.1034355,0.0,1.6152229,0.0,1.9521071,1.1034355,0.0,0.0,0.0,1.1034355,1.1034355,0.0,0.0,0.0,0.0,1.1034355,0.0,0.0,0.0,0.0,0.0,0.0,1.1034355,0.0,1.9521071,1.9521071,0.0,0.0,0.0,0.0,0.0,1.1034355,1.1034355,0.0,1.1034355,0.0,0.0,0.0,0.0,1.1034355,1.1034355,1.1034355,0.0,1.1034355,2.714796,1.1034355,0.0,2.5716214,1.1034355
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1984017,0.0,1.1984017,0.0,0.0,1.1984017,1.1984017,0.0,1.7280437,0.0,1.1984017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1984017,0.0,0.0,1.1984017,0.0,2.3281806,2.7006152,1.1984017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1984017,0.0,0.0,0.0,0.0,0.0,0.0,2.3281806,1.1984017,2.531637,0.0
24,0.0,0.0,0.0,1.0947605,0.0,1.6048139,0.0,0.0,0.0,0.0,1.9409552,0.0,1.0947605,0.0,0.0,1.0947605,1.0947605,1.0947605,1.0947605,0.0,1.6048139,0.0,0.0,0.0,0.0,1.0947605,0.0,0.0,0.0,0.0,1.0947605,0.0,0.0,1.9409552,1.0947605,1.0947605,0.0,1.0947605,0.0,1.9409552,0.0,1.0947605,1.0947605,0.0,0.0,0.0,0.0,0.0,1.0947605,1.9409552,0.0,0.0,0.0,0.0,1.0947605,1.9409552,0.0
25,0.0,0.0,0.0,0.0,1.1303937,1.6474562,0.0,0.0,0.0,0.0,1.6474562,1.6474562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1303937,0.0,0.0,0.0,0.0,0.0,0.0,1.1303937,0.0,0.0,0.0,0.0,3.3414254,2.2393794,1.1303937,0.0,0.0,0.0,0.0,1.1303937,1.6474562,1.1303937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2393794,1.1303937,0.0,2.4409876,0.0
26,0.0,0.0,0.0,1.1099393,0.0,1.9604499,0.0,0.0,1.1099393,1.1099393,1.1099393,0.0,0.0,1.1099393,0.0,0.0,0.0,0.0,1.1099393,0.0,0.0,0.0,1.1099393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9604499,1.1099393,0.0,1.1099393,1.1099393,0.0,0.0,0.0,0.0,0.0,0.0,1.1099393,0.0,0.0,0.0,1.1099393,0.0,0.0,0.0,0.0,1.623015,0.0,0.0,1.9604499,0.0
27,1.105459,0.0,1.105459,0.0,0.0,0.0,0.0,0.0,1.9547044,1.105459,0.0,0.0,0.0,0.0,1.105459,0.0,1.105459,0.0,1.105459,0.0,1.105459,0.0,0.0,0.0,0.0,1.105459,0.0,0.0,0.0,1.105459,0.0,0.0,0.0,2.7176223,0.0,0.0,0.0,1.105459,1.6176482,1.105459,0.0,0.0,0.0,0.0,0.0,1.105459,1.105459,1.6176482,1.105459,1.105459,1.105459,1.105459,1.9547044,0.0,0.0,2.40722,1.105459
28,0.0,1.0741574,1.0741574,0.0,0.0,1.9143568,0.0,0.0,0.0,0.0,0.0,0.0,1.0741574,1.0741574,0.0,1.0741574,1.0741574,0.0,0.0,0.0,0.0,0.0,2.3643973,1.0741574,0.0,1.0741574,0.0,0.0,1.5800194,0.0,0.0,0.0,2.5309272,2.7985122,1.0741574,0.0,0.0,1.0741574,0.0,1.0741574,0.0,1.5800194,0.0,0.0,0.0,0.0,0.0,1.0741574,0.0,1.0741574,0.0,0.0,2.1644833,0.0,1.0741574,1.0741574,0.0
29,0.0,1.6075206,0.0,1.0970148,0.0,0.0,0.0,0.0,0.0,0.0,1.0970148,0.0,1.0970148,0.0,0.0,0.0,0.0,0.0,1.0970148,0.0,0.0,0.0,0.0,1.0970148,1.0970148,0.0,1.0970148,0.0,0.0,0.0,0.0,0.0,1.6075206,2.195094,1.6075206,1.0970148,0.0,0.0,0.0,1.0970148,0.0,0.0,0.0,1.0970148,0.0,0.0,0.0,1.0970148,1.0970148,1.0970148,0.0,0.0,1.6075206,0.0,1.0970148,2.3957162,0.0
